title,text,subject,date
TfL contactless refunds return after cyber attack,"TfL says all online fares services have been reinstated, following a security incident in September.",Asia,11/15/2024
Outage hits Bluesky just as the platform's popularity takes off,The platform said on Thursday evening that one million people had joined it over the previous day.,Technology,12/5/2024
Why China is building a 'bullet train for power',China produces more clean energy than any other country. Now it's rolling out an ultra-high-voltage grid to match – will its strategy of going big pay off?,Liverpool,11/13/2024
'Significant step forward' for new youth centre,The £11m facility is set to open in Spring 2026.,North Yorkshire,11/21/2024
VW launches $5.8bn tie-up with Tesla rival Rivian,The firms will share EV technology as they face slowing sales growth and competition from Chinese rivals.,Innovation,11/13/2024
IVF is a roll of the dice. Can science fix that?,"It is more than 45 years since the first baby conceived using IVF was born, yet the procedure is still a roll of the dice for many couples. Can new research change that?",London,11/23/2024
Cells aim to 'nudge' offenders away from crime,"Wall art and technology inside custody cells is not a ""soft approach on crime"", say police.",Liverpool,11/21/2024
How could the Apple tax windfall be spent in Ireland?,The EU’s highest court ruled that Apple had to pay more than €14bn to the Republic of Ireland.,Wiltshire,11/23/2024
IVF is a roll of the dice. Can science fix that?,"It is more than 45 years since the first baby conceived using IVF was born, yet the procedure is still a roll of the dice for many couples. Can new research change that?",London,11/28/2024
How could the Apple tax windfall be spent in Ireland?,The EU’s highest court ruled that Apple had to pay more than €14bn to the Republic of Ireland.,Future,11/27/2024
Man who spied for Russia in UK 'discussed killing journalist',"A UK-based spy ring allegedly passed secrets to Russia, a court has heard as a trial begins.",Oxford,11/28/2024
Europe's flying taxi dreams falter as cash runs short,Makers of a new generation of European electric aircraft are struggling to raise money.,Politics,11/14/2024
A fatal car crash in India sparks concerns over Google Maps,Three men allegedly using Google Maps for directions died after their car fell off an unfinished bridge.,North Yorkshire,11/24/2024
Apple accused of trapping and ripping off 40m iCloud customers,Which? is seeking a £3bn payout for UK users as a result of the legal action it is launching.,Hearts,11/26/2024
'I was scammed out of £75k by Martin Lewis deepfake advert',"Des Healey lost £76,000 in a scam using a deepfake of Martin Lewis and Elon Musk.",Isle of Man,11/15/2024
'I feel intimidated and judged at the Jobcentre',Jobseekers in York give their views on a new trial in the city aimed at helping them back to work.,Future,11/14/2024
X users jump to Bluesky - but what is it and who owns it?,Bluesky is picking up one million new users every day at its current rate.,US & Canada,11/12/2024
Amazon launches Temu and Shein rival with 'crazy low' prices,"The price of products on Haul, which is being trialled in the US, will be capped at $20.",Wales,11/22/2024
NatWest blocks staff from using WhatsApp and Facebook Messenger,Employees must stick to official channels to make sure their messages are fully retrievable.,Lancashire,11/20/2024
F1 needs full-time stewards to simplify rules - Brown,"McLaren CEO Zak Brown feels employing stewards on a full-time basis in Formula 1 will help simplify the ""overly complicated"" rules.",Business,11/15/2024
"UK war tech sent to Russia by Insta model's firm, documents seen by BBC show","£1.6m of British kit shipped to companies tied to Russian military despite sanctions, customs documents claim.",West Yorkshire,11/21/2024
'Amazing showcase' for UK gaming industry cancelled,"The organisers blamed ""increasing costs and less demand"" as the sector continues to struggle.",Football,11/18/2024
Region's train ticket system 'embarrassing' - MP,Labour MP for Knowsley Anneliese Midgley has raised Merseyrail ticketing issues in Parliament.,Business,11/14/2024
Ey up - Richard III speaks with Yorkshire accent,A digital avatar of the medieval king is on display at York Theatre Royal.,England,11/21/2024
Can full body scans help to keep us healthy?,BBC Click's Lara Lewington tries the low cost full body scan that can detect health risks in minutes.,Future,11/21/2024
TfL resumes refund processing and Zip applications,TfL said it can now process refunds for Oyster customers who have overpaid more whilst systems have been down.,Northern Ireland,11/30/2024
Region's train ticket system 'embarrassing' - MP,Labour MP for Knowsley Anneliese Midgley has raised Merseyrail ticketing issues in Parliament.,Business,11/21/2024
Woman loses £20k through AI investment scam,"Ann Jensen, from Salisbury, was tricked into investing by a deepfake of Prime Minister Keir Starmer.",Jersey,11/21/2024
TfL resumes refund processing and Zip applications,TfL said it can now process refunds for Oyster customers who have overpaid more whilst systems have been down.,Technology,12/6/2024
The urgent race to upload Tuvalu to the metaverse,"Facing erasure due to climate change, the Pacific Island nation of Tuvalu is digitally backing up everything from its houses to its trees as it endeavors to save whatever it can.",England,11/20/2024
Food charity loses thousands of meals after flooding,"SOFEA says around 2,500 people are affected after it threw out tonnes of spoiled food.",Lincolnshire,12/1/2024
"Winter fuel cut not easy choice, admits minister","Peter Kyle says the decision to restrict payments this winter was made with a ""heavy heart"".",Dorset,12/4/2024
Statue unveiled to mark 200 years of RNLI,"The sculpture is of Henry Freeman, who was the sole survivor of a lifeboat disaster in 1861.",Cricket,11/16/2024
Hearts chief 'confident' of top six finish despite slow start,Chief executive Andrew McKinlay is sure Hearts will soon move off the bottom of the Premiership and will end the season in the top half of the table.,Wiltshire,11/18/2024
Woman walks down aisle after horrific leg break,Melanie Waterhouse walks down the aisle after a crash left her with a 10cm gap in her thigh bone.,Isle of Man,12/7/2024
Thermal drone ‘game-changer’ for seal surveys,A new thermal imaging drone is helping conservationists count seals on the Calf of Man.,Hampshire & Isle of Wight,12/3/2024
Why Nasa is crowdsourcing recycling tips,"When astronauts land on the Moon again as part of the Artemis project, they will have to build a place to live in. Nasa wants them to build as much of it they can from used materials.",Business,12/4/2024
Stowaway caught on Paris flight attempts to claim asylum,"French authorities say the woman does not fit the criteria for asylum, a source tells CBS News.",Health,12/8/2024
Kings of Leon tickets sold despite limited venue licence,A new licence to increase the venue's capacity is needed in order for the gig to go ahead.,Scotland,11/19/2024
Farm site plans 'more Blackpool than Eiffel Tower',A councillor says the plans are too industrial for the rural Ribble Valley surroundings.,Health,12/3/2024
Trump selects financier Howard Lutnick as commerce secretary,"Trump said Lutnick would lead the administration's ""tariff and trade agenda"".",Hull & East Yorkshire,12/7/2024
Some domestic abusers' reoffending halved - mayor,"West Yorkshire Mayor Tracy Brabin says she is ""very proud"" of police efforts to tackle the issue.",UK,11/11/2024
Southend rebuild 'going to plan' despite expected £2m loss,Southend United expect losses of about £2m in the current financial year despite last summer's takeover but chairman Justin Rees says things are 'going to plan'.,Technology,11/30/2024
Energy smart meter issues creating north-south divide,"Technology differences mean meters in northern England and Scotland may not work properly, energy firm body admits.",Norfolk,11/23/2024
East coast train services cancelled across weekend,Train services from Yorkshire to London are cancelled due to work on the East Coast Main Line.,Future,11/28/2024
Antarctica's mysterious upside-down ice-scape,"When scientists peered beneath one of Antarctica's floating ice shelves, they were surprised to find an upside-down landscape of peaks, valleys and plateaus.",Hereford & Worcester,12/4/2024
"Third of NI adults visit porn sites, Ofcom finds",Ofcom report finds NI adults are more likely to look at porn online than in any other part of the UK.,Bristol,11/29/2024
Guinness supplies being limited after demand soars,"Guinness-maker Diageo has placed limits on wholesale distribution of the stout to pubs in Great Britain after ""exceptional demand""",Oxford,11/20/2024
Jersey deputies approve government budget,"Health will be a big area of spending, with £710m earmarked to spend on new facilities.",Liverpool,11/25/2024
SpaceX launches Starship test flight with Trump and Musk watching on,Elon Musk and Donald Trump were together at the launch site for SpaceX's sixth test flight of the Starship.,Business,11/26/2024
Logan Paul accused of misleading fans over crypto investments,New evidence suggests the YouTuber promoted investments without revealing his financial interest in them.,Wales,11/11/2024
Hydro plant at reservoir could power 140 homes,Ellergreen Hydro submits listed building application for work at a Victorian reservoir.,Newsbeat,11/24/2024
Council to offer advice on keeping warm,East Lindsey District Council will run a drop-in session in Louth on Wednesday.,US & Canada,11/21/2024
Heritage steam railway to trial wi-fi service,The trial will give rural areas and passengers on the railway's route access to the internet.,Northern Ireland,11/18/2024
Late Bumrah wickets after Jaiswal & Kohli centuries put India on top,Yashasvi Jaiswal and Virat Kohli hit imperious centuries before Jasprit Bumrah takes two late wickets as India end day three of the first Test against Australia in a dominant position.,South Yorkshire,11/20/2024
Charities win King's Award for Voluntary Service,Two charities win the King's Award for Voluntary Service and will be invited to Buckingham Palace.,Dorset,11/17/2024
Island 'beyond excited' as Peter Kay gigs added,"The comedian has announced 21 new tour dates, including the Villa Marina in Douglas in 2026.",Culture,11/17/2024
Park gets solar-powered feeder to aid duck health,The bird feeder at Beacon Park in Lichfield aims to discourage people from feeding ducks bread.,Dorset,12/4/2024
Aspiring engineers build and race model speedboats,Schoolchildren take part in a challenge at one of the world's largest marine testing facilities.,Culture,12/4/2024
UK Pizza Hut to raise funds after Budget tax hikes,"The money could come from a sale of part of the business, or new investment from existing shareholders.",Lincolnshire,12/4/2024
Study aims to reduce bowel cancer diagnosis wait,The year-long study will use patients from the Shrewsbury and Telford Hospital NHS Trust.,World,11/29/2024
New £150m Hunterston port plans given go-ahead,"Peel Ports says the North Ayrshire site will attract £3.5bn in inward investment and create more than 5,000 jobs.",Northamptonshire,11/26/2024
Study aims to reduce bowel cancer diagnosis wait,The year-long study will use patients from the Shrewsbury and Telford Hospital NHS Trust.,World,12/5/2024
Maritime museum interior work completed,The Victorian building will now be fitted out with exhibits ahead of its reopening in 2026.,Politics,11/15/2024
Drones could bring in more 'risky' items to prison,"Security in prisons is being compromised, HM Chief Inspector of Prisons says.",Peterborough,11/30/2024
Bitcoin surges past $100k for first time,Its record price is making headlines - but that's just one part of the cryptocurrency's tumultuous story.,Innovation,11/27/2024
College helping students get 'heat pump ready',A college says its new centre will help train more heating engineers as demand grows for heat pumps.,Bradford,11/27/2024
The precarious boulders that defy earthquakes,These giant rocks could roll at any moment. The fact they haven't offers a window into the shaking of ancient Earth.,Technology,11/16/2024
Parking machines switched off for upgrade,The pay and display machines need to be updated to work with modern wireless networks.,Sussex,11/26/2024
New cinema to open in major city shopping centre,Cabot Circus in Bristol has been without a cinema since the Showcase De Lux closed last year.,Innovation,12/6/2024
Why is the RAF celebrating 10 years of this plane?,The Atlas A400M is being celebrated to mark its 10th anniversary but why is it such a special plane?,Wales,11/19/2024
Northern boss admits service 'unacceptable',"Train cancellation levels in Merseyside last year were ""really chronic"", Matt Rice says.",Politics,11/30/2024
Nightclub stickers over smartphone rule divides the dancefloor,A new nightclub is opening and introducing a strict no phones on the dancefloor policy.,Bristol,11/26/2024
Man who binned Bitcoin says it's now worth £500m,James Howells accidentally threw out his hard drive in 2013 and has been searching for it ever since.,Coventry & Warwickshire,11/26/2024
Why so many games are failing right now - and why others are breakout hits,"Making games is hard and, in 2024, getting people to buy them is another challenge.",England,12/4/2024
US universities warn foreign students on Trump immigration crackdown,Top colleges have issued travel advisories urging students and staff to return to the US before inauguration day.,Essex,12/7/2024
Maghera teacher 'overwhelmed' by top teaching award,Ciara Mulholland was recognised for her exceptional contribution to her pupils and wider community.,Future,12/8/2024
Work starts on giant airship factory site,"The site in Doncaster could make up to 24 Airlander 10 craft every year, its manufacturer says.",Africa,12/7/2024
Firm seeks to increase waste incinerator capacity,Eco Sustainable Solutions is seeking to increase the capacity of its planned incinerator at Parley.,Hull & East Yorkshire,12/8/2024
Dorothy's ruby slippers sell for $28m at auction,"The shoes, worn by Judy Garland in the classic 1939 movie, went for $25m more than the auctioneer's estimate.",Somerset,11/30/2024
Firm seeks to increase waste incinerator capacity,Eco Sustainable Solutions is seeking to increase the capacity of its planned incinerator at Parley.,Business,11/12/2024
Dorothy's ruby slippers sell for $28m at auction,"The shoes, worn by Judy Garland in the classic 1939 movie, went for $25m more than the auctioneer's estimate.",London,11/18/2024
"Practices cannot cope with waiting lists, says GP","Dr Satpal Shekhawat, who has a practice in Kirton Lindsey, says waiting lists keep growing.",Africa,11/18/2024
US jury awards $42m to ex-detainees at Iraq's Abu Ghraib,A Virginia-based defence contractor is found liable for the abuse of three former prisoners.,Technology,12/6/2024
Digital hub opens to train teachers in new tech,"The new facility in Kettering covers virtual reality, augmented reality, 3D printing and robots.",South Yorkshire,11/29/2024
What we know about North Korean troops in Ukraine,Some observers say we should not be too quick to dismiss Pyongyang's military capabilities.,Wolverhampton,11/8/2024
"Musk could become political puppet master, says Clegg","The former deputy PM turned top Meta boss tells Nick Robinson that Musk is playing an ""outsized"" role in US politics.",England,11/26/2024
University's £32m Lab building officially opens,"The building houses science and engineering labs, plus a space designed to host public events.",Isle of Man,12/5/2024
New tech helping to combat illegal elephant ivory trade,New laser technology is helping border security to distinguish illegal ivory from legal mammoth tusks.,Sussex,12/8/2024
Leisure centre to close in money-saving bid,"Bradford Council says shutting the centre in Baildon will help save about £500,000 in two years.",Manchester,11/8/2024
What we know about Musk's cost-cutting mission,Elon Musk and Vivek Ramaswamy are on Capitol Hill to discuss their new advisory body. So what will it do?,Cambridgeshire,12/1/2024
'Why I spent £85k of my own money to help fix Britain's housing crisis',Dr Jess Steele put her money into a project providing affordable homes to people in her community.,Asia,12/2/2024
New tech helping to combat illegal elephant ivory trade,New laser technology is helping border security to distinguish illegal ivory from legal mammoth tusks.,Hampshire & Isle of Wight,12/4/2024
Welsh entrepreneurs abroad 'ready to invest here',"A study of Welsh emigrants finds 500 entrepreneurs, and a quarter say they're ready to invest here.",Europe,12/5/2024
Chris Wormald to become new civil service head,The current civil service health chief will become the government's most powerful advisor,Culture,11/28/2024
New cameras could tackle illegal school parking,The CCTV cameras can detect number plates and could be positioned outside of dozens of schools.,Future,11/30/2024
Warwickshire faces five years of council tax rises,Warwickshire County Council sets out plans to raise tax and save almost £80m in a budget report.,US & Canada,12/8/2024
Sewage spills into Norfolk river for nine days,An overflow spills sewage into a Broads river following consistent wet weather.,Wolverhampton,11/27/2024
Restoration work on historic ceiling approved,"Repairs on the Victorian-built Moot Hall is agreed by planners, meaning the work can begin.",Suffolk,11/28/2024
The enchanting iceberg songs that travel the world,"Icebergs produce some of the loudest natural noises in the oceans. Can we learn anything about their birth, life and death by listening in?",Manchester,11/12/2024
Africa's incoming health boss dies aged 55,Faustine Ndugulile was elected WHO African director months ago and was due to take over from February.,Coventry & Warwickshire,11/12/2024
A call back in time as old phones unearthed,The collection has been compiled to celebrate 120 years of Hull's independent telephone network.,North Yorkshire,12/8/2024
New police station 'better suited' to needs opens,"A new police station opens in a Somerset town, which aims to be ""more efficient and sustainable"".",Coventry & Warwickshire,11/17/2024
DNA-testing site 23andMe to lay off 40% of its workers,The once-popular general DNA-testing firm holds a trove of sensitive genetic data from its customers.,North Yorkshire,11/11/2024
The London woman going viral with her scissor obsession,Cydney Harding aka 'CydneyScissorhands' shares her love of scissors with an online audience.,Nottingham,11/27/2024
'I may not be human but I sing from my soul' - AI divides African musicians,Some pioneers see it as opportunity but others fear the continent's creativity will be stripped for profit.,London,11/12/2024
'I was moderating hundreds of horrific and traumatising videos',"The BBC speaks to social media moderators, whose job it is to find and remove distressing and illegal content.",Technology,12/3/2024
'My ex was abusive - I want to help others escape',Kelly Walker recorded evidence of abuse on her phone and took evidence to South Yorkshire Police.,Derby,11/21/2024
Recycling plant machinery worth £1.3m stolen,It is thought it would have taken a week to dismantle the plant and a fleet of lorries to remove it.,Wiltshire,11/19/2024
New evidence uncovered in Princes in Tower mystery,A Huddersfield professor finds the first reference in 540 years of any item belonging to the princes.,Africa,12/6/2024
Food security among strategies backed by Tynwald,The interlinked strategies on food security and agriculture were backed by the island's parliament,Future,12/4/2024
New hybrid gritters ready to be used this winter,"The council says the vehicles spread grit automatically, depending on the need and road width.",Peterborough,11/21/2024
Tenants left in limbo by council eviction advice,A charity has raised concerns over Manchester City Council's advice to tenants facing no-fault evictions.,Business,11/11/2024
Academic trolled for PhD 'unfazed by the vitriol',"Dr Ally Louk receives threats on X after posting about her PhD, but says most comments are ""generous"".",US & Canada,11/18/2024
Putin gifts lion and brown bears to North Korea zoo,"The two countries have grown very close recently, with N Korea supporting Putin's war in Ukraine.",Glasgow & West Scotland,12/2/2024
Weightlifter to pole champion - thanks to new treatment,"Paul Bradley overcame a serious shoulder injury to take up a new sport, becoming a world beater.",England,11/21/2024
UK-India trade talks to re-launch in the new year,Sir Keir Starmer met Indian prime minister Narendra Modi at the G20 summit of global economic leaders.,Jersey,11/22/2024
Watch Rihanna and A$AP Rocky light up red carpet at UK Fashion Awards,The pair starred alongside fashion and entertainment royalty for the awards gala in London.,Future,11/19/2024
China's 'green' game where cheaters thrive,An acclaimed Chinese mobile app was designed to encourage green behaviour. Some of its users are gaming the system.,Technology,12/7/2024
Gary Gensler to leave role as SEC chairman,"Donald Trump revealed plans to sack Mr Gensler on ""day one"" of his new administration.",Scotland,12/3/2024
Library restoration scheme under way in city,"The library is having its Grade II* listed facade restored, a new roof, remodelling and a new lobby.",Future,12/6/2024
Community charity moves to bigger town centre home,"ICM in Ipswich runs English language courses, as well as youth and mental health groups.",Politics,11/30/2024
Police drop drug-testing probe over lack of funds,Police say they lack the resources needed to continue their probe into two forensic science firms.,Stoke & Staffordshire,12/6/2024
Mum's warning over WhatsApp Christmas party scam,"Kasi Reid, from Coventry, says a man called her claiming to be a parent at her son's school.",Business,11/30/2024
'It is a wonderful thing we are still here',"Lewis & Cooper, an independent grocers, celebrates 125 years of trading in Northallerton.",Glasgow & West Scotland,11/15/2024
Mum's warning over WhatsApp Christmas party scam,"Kasi Reid, from Coventry, says a man called her claiming to be a parent at her son's school.",England,10/14/2024
'It is a wonderful thing we are still here',"Lewis & Cooper, an independent grocers, celebrates 125 years of trading in Northallerton.",West Yorkshire,12/6/2024
'My eyes were swollen out of my head',A man thanks the therapy team who helped him to recover from head injuries after a freak accident.,Wales,11/27/2024
British Library installs solar technology on roof,The £1.5m project is expected to reduce the building’s CO2 emissions by 55 tonnes a year.,"NE, Orkney & Shetland",11/20/2024
How people are falling in love on climbing walls,Climbers say they didn't start bouldering to find a partner - but it ended up happening along the way.,World,11/14/2024
Residents shocked by village store's sudden closure,Villagers say the decision to close the shop has left them without a convenience store.,Wales Men,11/27/2024
Swindon Oasis plans include hundreds of new homes,"Residents can have their say on plans for up to 710 homes as well as to ""revive"" the leisure centre.",Future,11/27/2024
Sudan death toll far higher than previously reported - study,"More than 61,000 people have died in Khartoum state, where the fighting began last year, researchers say.",Northern Ireland,11/27/2024
Why we feel the need to feast together,"For thousands of years, humans have come together in small groups to feast on food. Why is it important – and why do we still continue the tradition?",Future,12/1/2024
City GP promotes online booking system at open day,A surgery holds an open day to boost uptake of an online booking system and promote available care.,North Yorkshire,11/19/2024
Gambling slots online to be limited to £5 per spin,Government claims reforms will reduce gambling-related harm and raise funds to treat addiction.,Wales,11/26/2024
Trump picks loyalist ex-aide as FBI director,The president-elect also chooses a Florida sheriff to lead drug enforcement.,Future,11/12/2024
Former Strathclyde Union to get £30m makeover,Plans for what was once Scotland's biggest student's union building are unveiled.,Scotland,11/15/2024
Taxi licence safety row blows up between councils,Concerns over Wolverhampton's taxi licensing system have been raised by a North Somerset councillor.,US & Canada,11/24/2024
From Abba covers to Voyage success,"Janette Williams recalls her ""surreal"" audition in front of the Swedish group's Benny Andersson.",Europe,11/9/2024
Paris 2024 gymnastics equipment moved to gym,Local athletes will be able to train on the same equipment used in the Olympic Games.,Business,11/21/2024
The astronauts of the underworld,"Blind spiders and whip scorpions, the future of climate change, photosynthesis in the dark – here's what the deepest places on Earth can reveal about life and the universe.",Hampshire & Isle of Wight,11/17/2024
DNA firm holding highly sensitive data 'vanishes' without warning,Customers of Atlas Biomed are angry and worried about what's happened to the highly sensitive data they shared.,Technology,11/20/2024
When Gary met Rab: Comedy icons confront generation gap in sitcom,The actors behind Gary:Tank Commander and Rab C Nesbitt are paired in a new sitcom - Only Child.,Wiltshire,11/22/2024
Could the world ban fossil fuels like nukes?,The fear of nuclear war forced nations to come together to stop the spread of atomic weapons. Could a similar idea curb the use of fossil fuels?,Culture,11/19/2024
Watchdog 'largely satisfied' after cronyism row review,The Civil Service Commission launched a review amid concerns about Labour's civil service appointments.,UK,11/4/2024
New public square set to be finished by spring,The Goods Yard site is part of a revamp of a former industrial site in Stoke-on-Trent.,Lincolnshire,11/26/2024
British Airways says 'tech issue' resolved after delays,"Passengers had reported delays, but the airline says flights were not cancelled.",Asia,11/20/2024
How a drone can have its own 'nervous system',The team said the technology would make future drones more reliable and cost-effective.,Business,11/10/2024
Ferguson shipyard's interim boss extends contract,John Petticrew will continue to run the Port Glasgow yard while it works to complete a second CalMac ship Glen Rosa.,Jersey,11/6/2024
Thurrock Council to discuss plans to save £18m,Debt-ridden Thurrock Council is setting out a range of proposals in a bid to save £18.2m in 2025.,Cambridgeshire,12/4/2024
'This is my face and I will embrace what I have',Cancer survivor Robin Fahey is taking part in an art exhibition highlighting facial prosthetics.,Women's Football,11/12/2024
New 550-capacity theatre planned for capital,"A new ""immersive"" theatre is being planned for Cardiff Bay, next to the planned Cardiff Indoor Arena.",Scotland,11/21/2024
Rocket firm shelves plan for Highland spaceport,Orbex announces it will instead launch its first rockets from SaxaVord in Shetland.,Politics,11/25/2024
"Zelensky says Russia has 50,000 troops in Kursk",Ukraine's president says the incursion is limiting the forces Moscow can deploy inside his country.,Scotland,11/13/2024
What do the stats tell us about Craig Bellamy’s Wales?,BBC Sport Wales examines the numbers behind Craig Bellamy's first six matches in charge of Wales.,Business,12/6/2024
Salmon have returned to the Klamath river,"After being absent for more than a century, salmon have been spotted in Oregon's Klamath River Basin, following a mammoth dam removal project in California.",England,11/19/2024
Belfast's 'ugliest building' to be demolished,An old office block dubbed Belfast's 'ugliest building' is to be demolished.,Business,11/8/2024
The 'apple library' with a lost world in its trees,"The explosion of crisp, commercial apple varieties in the last century doomed many other breeds into obscurity. But there are growers in the UK who want to bring them back.",Lincolnshire,11/13/2024
'We booked a £99 stargazing break - all we got was an empty field',A sophisticated scam promising a night in a stargazing dome in North Yorkshire catches people out.,England,11/30/2024
Nuclear medicine shortage will lead to deaths,Experts warn hundreds could be affected by the shortage in radioisotopes used to track cancer.,Manchester,11/15/2024
Fenced in: the invisible borders killing wildlife,"Modern fences are often so thoroughly impenetrable, they can slice up already-scarce habitats and restrict wildlife to increasingly small scraps of land.",Culture,11/10/2024
Uncovering the men who hid a note in a Scottish lighthouse 132 years ago,Experts poring over censuses and newspaper archives have built up a rich picture of their lives.,Business,12/6/2024
"Robert Roberson's execution can resume, Texas Supreme Court rules","The Texas man was meant to be executed last month, but it was temporarily stopped at the last minute.",Golf,11/12/2024
Hologram in Amsterdam window aims to solve sex worker's cold case murder,"The fatal stabbing of a Hungarian teenager, killed shortly after she gave birth, has baffled police for 15 years.",Culture,11/5/2024
US jobs bounce back after hurricanes and strikes,"Employers added 227,000 jobs in November as markets look ahead to what it means for interest rates.",Oxford,11/13/2024
Collaboration urged over island sewage spills,Anti-pollution campaigners joined Southern Water at a public meeting in Newport.,Wales,12/3/2024
"Vodafone-Three merger could get green light, watchdog says",It wants commitments on prices and 5G if the creation of the UK's biggest mobile network is to go ahead.,Business,11/19/2024
'Many lethal doses' of Novichok used in poisonings,A scientific adviser says a Novichok sample smaller than a grain of salt could have been fatal.,Suffolk,11/8/2024
‘The glasses are a prop’: Anna Wintour on her style and being told 'no',The fashion guru spoke to the BBC ahead of a new Vogue show looking back on the industry's history.,Future,12/4/2024
Ferry boss surprised after bid turned down,"The chairman of Brittany Ferries says criticism of the company has been ""damaging"".",Kent,12/6/2024
Why time is standing still for 136-year-old clock,The timepiece above Stonebow needs parts to be manufactured by specialists due to its age.,Wales,11/30/2024
India police seek Starlink help over $4.25bn drug haul,Police say this is the first known case of the device's use to navigate and reach Indian waters.,London,11/20/2024
Boohoo bosses stalking allegations investigated by police,The retailer has also told the information watchdog about surveillance equipment outside its head office.,Devon,11/17/2024
"Emission levels at phone masts safe, survey finds","The island's regulator says emissions are ""well below"" international safety limits.",Nottingham,11/27/2024
Cambridge Water warned over city supply and demand,The company has been told there are concerns about whether it can meet demand as Cambridge expands.,World,11/28/2024
Liverpool 'let down by officials' in loss to Everton,"Liverpool manager Matt Beard says they were ""let down by the officials"" in their Merseyside derby defeat by Everton.",England,11/27/2024
Tartan and hysteria: Musical tells story of Scotland's biggest boyband,Shang-a-lang - Hits of the Bay City Rollers get the Mamma Mia treatment in a new theatre show.,Kent,11/25/2024
UK and Iraq strike deal to clamp down on people smuggling gangs,The agreement is aimed as tackling the gangs responsible for smuggling people across the Channel.,Shropshire,11/20/2024
Tartan and hysteria: Musical tells story of Scotland's biggest boyband,Shang-a-lang - Hits of the Bay City Rollers get the Mamma Mia treatment in a new theatre show.,Business,11/27/2024
Macy's employee hid more than $130m in delivery expenses,"An employee ""intentionally"" concealed expenses related to package deliveries, the retailer says.",Asia,11/8/2024
How safe is that lorry? HGVs given star ratings,The scores are out of five and have been driving up standards in cars since 1997.,Business,11/9/2024
Aston Martin issues second profit warning in two months,"The iconic firm blames ""minor delay"" in deliveries of its ultra-exclusive Valiant cars for the shortfall.",Business,11/13/2024
Why time is standing still for 136-year-old clock,The timepiece above Stonebow needs parts to be manufactured by specialists due to its age.,Jersey,11/25/2024
'Ghost buses' and cut services: Passengers complain as bus cap rises,The frequency of rural bus services in England has reached a historic low but fares are now rising.,Isle of Man,11/25/2024
Man Utd star praised for helping sick plane passenger,Bruno Fernandes went to the aid of a man who almost collapsed on a flight from Manchester to Lisbon.,West Yorkshire,11/22/2024
Band Aid star defends song as megamix is released,"Spandau Ballet's Tony Hadley says critics of the charity song like Ed Sheeran ""should shut up"".",Business,11/25/2024
From eyesore to asset: How a smelly seaweed could fuel cars,Scientists in the Caribbean are turning algae that have been choking beaches into biofuel.,Business,11/18/2024
Departing R&A chief 'proud of Open' but urges men's pro golf to 'sort itself out',"Martin Slumbers is proud of his achievements at the R&A but says stability is needed for the game to push on, writes Iain Carter.",Northern Ireland,11/11/2024
Band Aid star defends song as megamix is released,"Spandau Ballet's Tony Hadley says critics of the charity song like Ed Sheeran ""should shut up"".",Business,11/25/2024
Families 'may pay the cost of making homes green',Legislation for new builds is not expected to make the installation of solar panels mandatory.,England,11/15/2024
Smart watch health alert triggers sea rescue,A passenger ferry was diverted to find the yacht after a medical alert was issued by a smart device.,Wales,11/15/2024
From eyesore to asset: How a smelly seaweed could fuel cars,Scientists in the Caribbean are turning algae that have been choking beaches into biofuel.,Business,12/5/2024
"New Christmas display with 32,000 lights unveiled","The organisers say the display is inspired by a vision of ""dancing snowflakes in a winter landscape"".",Liverpool,11/7/2024
Consultation opens on school redevelopment plans,The school wants to demolish its main buildings that have been identified as being in poor physical condition.,Future,11/29/2024
The people growing their own toilet paper,One million trees worldwide are cut down each year to make toilet paper. Is it more sustainable to grow your own?,Future,11/29/2024
Council leader visits Ukraine to pledge solidarity,An agreement is signed to explore the transfer of knowledge and business opportunities.,Africa,11/23/2024
Wanyonyi's journey from herdsboy to Olympic champion,"Growing up in poverty, Kenya's Emmanuel Wanyonyi herded cattle as a boy and endured the sudden death of his father before finding purpose in athletics.",England,11/15/2024
Thousands must carry on boiling water after storm,Welsh Water apologises and increases its offer of compensation to affected customers and businesses.,London,11/11/2024
Inside the London landmark where they're trying to save the Earth,Part of a building that was once the home of London's local politics is now dedicated to another cause.,Family & Education,11/6/2024
School wants inclusive tests for non-verbal pupils,A Devon school is petitioning the government for changes to phonics tests.,Politics,11/12/2024
Britain's 'best new building of 1996' to be demolished,Salford University's award-winning Centenary Building has been vacant for the past eight years.,World,11/12/2024
City centre university building to officially open,It features a glazed ground-floor entrance and a virtual production film suite.,England,11/7/2024
Lights under surfboards could deter shark attacks - study,"Fixing LED lights under surfboards could stop great white sharks from attacking, Australian scientists find.",US & Canada,11/2/2024
Four arrested after protests at defence firm,Palestine Action said its members blocked the entrance to two Elbit Systems UK sites in Bristol.,Business,11/29/2024
Council leader visits Ukraine to pledge solidarity,An agreement is signed to explore the transfer of knowledge and business opportunities.,Leicester,12/3/2024
Digital learning centre opens for discovery day,Harper Adams University Telford wants to show off its technology facilities to potential students.,Business,12/4/2024
Uniqlo faces China backlash over cotton comments,Commentators call for a boycott of the chain in China after it told the BBC it does not use Xinjiang cotton.,Hampshire & Isle of Wight,11/28/2024
Bank boss takes pay cut after employee 'tried to kill clients',"The bank apologised after the former worker was charged with robbery of clients, attempted murder and arson.",Future,11/6/2024
